REG,P16_POP,P16_POP0029,P16_POP3059,P16_POP60P,LIBREG
1,394109.99999999994,142312.72874307085,159217.32734377883,92579.94391315023,Guadeloupe
2,376480.00000000006,125811.11217431577,153509.63129829144,97159.25652739283,Martinique
3,269351.99999999994,152268.5481622664,95663.00097334044,21420.450864393104,Guyane
4,852924.0000000005,372931.21739966795,346509.66126713087,133483.12133320144,La Reunion
11,12117130.94790654,4798959.0325854095,4943151.942544777,2375019.97277636,Île-de-France
24,2577866.0,877481.671718478,979014.7415842131,721369.5866973083,Centre-Val de Loire
27,2818338.000000001,946772.6603166945,1066902.1144691487,804663.2252141559,Bourgogne-Franche-Comté
28,3335928.9999999967,1178184.3302377118,1268969.4791457215,888775.1906165662,Normandie
32,6006800.3234403515,2305302.395468057,2322211.1734900726,1379286.7544822206,Hauts-de-France
44,5555185.999999996,1954421.5612336698,2186447.2193861296,1414317.219380209,Grand Est
52,3737631.999999996,1352019.9293604158,1425025.135891769,960586.9347478154,Pays de la Loire
53,3306529.0000000023,1134564.435095781,1257406.74287485,914557.8220293709,Bretagne
75,5935603.0,1916485.9956350157,2261852.6694133542,1757264.3349516294,Nouvelle-Aquitaine
76,5808434.999999989,1963629.994520021,2211331.582352467,1633473.4231275083,Occitanie
84,7916888.999999992,2863104.333369557,3075366.565678739,1978418.1009517065,Auvergne-Rhône-Alpes
93,5021928.000000003,1675899.8450333902,1919872.378786582,1426155.7761800303,Provence-Alpes-Côte d'Azur
94,330455.0000000001,102394.34832578682,132182.71634314637,95877.93533106684,Corse
